Repository,EVENT_DATE,NEAREST_PL,INFO_SOURC,IMPACTS,DAMAGE_DES,LAT,LONG,GlobalID,PHOTO_CRED,Acres,FireName,StartYear,StartMonth,StartDay,StartDate,RainGauge,Station ID,LAT_Rg,LON_Rg,Distance_km,FireMap_ID,Storm_StartDate,Storm_Duration,Storm_Accum,Storm_AvgIntensity,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_Date,Peak_I30_Date,Peak_I60_Date,CummRain_24h,CummRain_48h,Certainty,reg_datetime_t1,eccentricity,area_km,speed_km_h,PSmean_dbz,PSmin_dbz,PSmax_dbz,reflect_pfdf,maxfiredbz_peak15,direction,percentile_dbzval,percentile_firemax,Season,fract10-15,fract15-20,fract20-25,fract25-30,fract30-35,fract35-40,fract40-45,fract45-50,fract50-55,fract55-60,fract60-65,fract65-70,fract>70
"Reported Landslides Database, California Department of Conservation",1/28/21,"27500 block of Williams Street, Silverado, CA",California Geological Survey,Road-unpaved,Post-fire debris originated in Spring Canyon (at an estimated volume of half of the 1/25/21 debris flow) and blocked Williams Canyon Road. No access into Williams Canyon from Silverado Canyon.,33.7297,-117.646092,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/238/attachments/380,Paul Burgess,6681,Bond,2020,12,2,12/2/20,Adkins,ADSKIN,33.7290863,-117.6556735,1,10016771,1/28/21 21:45,20.5,39.116,1.908097561,23.368,19.812,13.97,1/28/21 22:30,1/28/21 22:30,1/28/21 23:00,1.016,1.016,Certain,1/29/21 6:30,0.286365298,68953.19332,75.88956045,28.11610719,20,56,37.5,43,298.6782087,96.49122807,87.29508197,Fall/Winter,0.114837976,0.114837976,0.177942013,0.223990904,0.281409892,0,0,0,0,0,0,0,0
Neptune et al. (2021); https://doi.org/10.2113/EEG-D-21-00039 ,12/7/19,Merced River Highway 40112,Neptune et al. (2021),,Road Closure,37.6154936,-119.957308,,,5563,Briceburg,2019,10,5,10/5/19,Briceburg,MBG,37.60477,-119.96776,1.9,10016217,12/7/19 1:00,33.25,48.26,1.451428571,19.304,13.716,8.89,12/8/19 7:45,12/8/19 8:00,12/8/19 8:15,112.268,112.268,Certain,12/8/19 15:45,0.544250128,3975.267943,197.4707551,27.83206816,20,57.5,35.5,37.5,278.5397424,85.11450382,73.63013699,Fall/Winter,0,0.021545319,0.05423477,0.132986627,0.18127786,0.190193165,0.260029718,0.15230312,0.007429421,0,0,0,0
Neptune et al. (2021); https://doi.org/10.2113/EEG-D-21-00039 ,12/7/19,Highway 140 Midpines312,Neptune et al. (2021),,Partial blockage of flow in bear creek,37.6006,-119.95469,,,5563,Briceburg,2019,10,5,10/5/19,Briceburg,MBG,37.60477,-119.96776,1.5,10016217,12/7/19 1:00,33.25,48.26,1.451428571,19.304,13.716,8.89,12/8/19 7:45,12/8/19 8:00,12/8/19 8:15,112.268,112.268,Certain,12/8/19 15:45,0.544250128,3975.267943,197.4707551,27.83206816,20,57.5,32,37.5,278.5397424,71.11111111,73.63013699,Fall/Winter,0.089960887,0.123859192,0.162972621,0.144719687,0.114732725,0.082138201,0.096479791,0.069100391,0.002607562,0,0,0,0
Neptune et al. (2021); https://doi.org/10.2113/EEG-D-21-00039 ,12/7/19,301 Bear Creek,Neptune et al. (2021),,Partial blockage of flow in bear creek,37.60103,-119.95997,,,5563,Briceburg,2019,10,5,10/5/19,Briceburg,MBG,37.60477,-119.96776,0.9,10016217,12/7/19 1:00,33.25,48.26,1.451428571,19.304,13.716,8.89,12/8/19 7:45,12/8/19 8:00,12/8/19 8:15,112.268,112.268,Certain,12/8/19 15:45,0.544250128,3975.267943,197.4707551,27.83206816,20,57.5,32,37.5,278.5397424,71.85185185,73.63013699,Fall/Winter,0,0.018559762,0.08908686,0.22345954,0.198960653,0.203414996,0.20861173,0.057906459,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",11/15/16,Ponderosa Way,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.341545,-120.628775,,,70847,Butte,2015,9,10,9/10/15,Diamond Lane Alert Precip NR Glencoe CA,3.82E+14,38.343278,-120.618278,0.96,25434,11/15/16 18:15,2.5,7.874,3.1496,5.08,5.08,4.318,11/15/16 18:15,11/15/16 18:30,11/15/16 19:00,1.27,1.27,Certain,11/16/16 2:15,0.365703589,7378.502026,59.37088099,18.63546191,10,37.5,23,28,280.2921362,81.81818182,17.85714286,Fall/Winter,0,0,0,0.011627907,0.151162791,0.465116279,0.372093023,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",10/16/16,Jesus Maria Rd,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.285005,-120.648061,,,70847,Butte,2015,9,10,9/10/15,NF CALAVERAS R ALERT PRECIP NR MOKELUMNE HILL CA,3.82E+14,38.281944,-120.670281,2.02,25434,10/15/16 19:00,32,76.708,2.397125,51.816,37.084,32.512,10/16/16 18:15,10/16/16 18:15,10/16/16 18:15,5.334,25.908,Certain,10/17/16 1:15,0.275884721,26391.14895,63.58473624,27.96322482,20,53.5,42,49.5,65.80546229,91.83673469,89.61748634,Fall/Winter,0,0,0.023391813,0.307692308,0.360323887,0.256410256,0.052181736,0,0,0,0,0,0
NASA Global Landslide Catalog,10/16/16,Highway 26 about a half-mile east of Montgomery Drive,Calaveras Enterprise,,A 100-foot section of Highway 26 about a half-mile east of Montgomery Drive was closed from 5 p.m. to 11:30 p.m. on Sunday due to a mud slide that a CHP report said was one-and-a-half feet deep.,38.3139,-120.6609,,,70847,Butte,2015,9,10,9/10/15,NF CALAVERAS R ALERT PRECIP NR MOKELUMNE HILL CA,3.82E+14,38.281944,-120.670281,4.6,25434,10/15/16 19:00,32,76.708,2.397125,51.816,37.084,32.512,10/16/16 18:15,10/16/16 18:15,10/16/16 18:15,5.334,25.908,Certain,10/17/16 1:15,0.275884721,26391.14895,63.58473624,27.96322482,20,53.5,41,49.5,65.80546229,93.33333333,89.61748634,Fall/Winter,0,0,0.023391813,0.307692308,0.360323887,0.256410256,0.052181736,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",10/15/16,Ponderosa Way,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.34113,-120.62889,,,70847,Butte,2015,9,10,9/10/15,Diamond Lane Alert Precip NR Glencoe CA,3.82E+14,38.343278,-120.618278,0.98,25434,10/14/16 12:45,60.75,112.522,1.852213992,45.72,39.624,29.972,10/16/16 17:15,10/16/16 17:15,10/16/16 18:30,0.254,0.254,Certain,10/17/16 0:15,0.342278318,35537.85365,247.2317713,27.56557178,20,52,10.5,51,257.7244772,3.6,96.20938628,Fall/Winter,0.151595745,0.212765957,0.164893617,0.082446809,0.10106383,0.085106383,0.02393617,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",3/4/16,Ponderosa Way,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.3359,-120.630873,,,70847,Butte,2015,9,10,9/10/15,Diamond Lane Alert Precip NR Glencoe CA,3.82E+14,38.343278,-120.618278,1.4,25434,3/4/16 14:45,80.5,47.498,0.590037267,23.368,20.32,11.43,3/6/16 0:15,3/6/16 0:30,3/6/16 0:45,1.524,1.524,Certain,3/6/16 8:15,0.339045837,75657.07171,46.42561897,27.64740647,20.5,52,43,52,85.20677448,99.65986395,99.89495798,Fall/Winter,0,0.068627451,0.215686275,0.519607843,0.196078431,0,0,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",3/4/16,Ponderosa Way,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.341279,-120.628903,,,70847,Butte,2015,9,10,9/10/15,Diamond Lane Alert Precip NR Glencoe CA,3.82E+14,38.343278,-120.618278,0.98,25434,3/4/16 14:45,80.5,47.498,0.590037267,23.368,20.32,11.43,3/6/16 0:15,3/6/16 0:30,3/6/16 0:45,1.524,1.524,Certain,3/6/16 8:15,0.339045837,75657.07171,46.42561897,27.64740647,20.5,52,42,52,85.20677448,99.65831435,99.89495798,Fall/Winter,0,0.068627451,0.215686275,0.519607843,0.196078431,0,0,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",3/4/16,Jesus Maria Rd,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.285033,-120.648208,,,70847,Butte,2015,9,10,9/10/15,NF CALAVERAS R ALERT PRECIP NR MOKELUMNE HILL CA,3.82E+14,38.281944,-120.670281,2.01,25434,3/4/16 14:00,68.25,102.362,1.499809524,37.592,29.464,17.272,3/6/16 0:15,3/6/16 0:15,3/6/16 0:45,0.254,0.254,Certain,3/6/16 8:15,0.339045837,75657.07171,46.42561897,27.64740647,20.5,52,46,52,85.20677448,100,99.89539749,Fall/Winter,0,0,0,0,0.235294118,0.696078431,0.068627451,0,0,0,0,0,0
"Graber, A.P (2023), doi:10.5066/P98Q4CDH",3/4/16,Hawver Rd,"Jeremy Lancaster, California Geological Survey",,Observation from USGS inventory,38.280241,-120.671884,,,70847,Butte,2015,9,10,9/10/15,NF CALAVERAS R ALERT PRECIP NR MOKELUMNE HILL CA,3.82E+14,38.281944,-120.670281,0.24,25434,3/4/16 14:00,68.25,102.362,1.499809524,37.592,29.464,17.272,3/6/16 0:15,3/6/16 0:15,3/6/16 0:45,0.254,0.254,Certain,3/6/16 8:15,0.339045837,75657.07171,46.42561897,27.64740647,20.5,52,40,52,85.20677448,98.50574713,99.89539749,Fall/Winter,0,0,0,0.207852194,0.508083141,0.122401848,0.152424942,0.009237875,0,0,0,0,0
Thomas et al. (2023) doi:10.5066/P91O03Y7,1/27/21,West of the Carmel River,"Doug Smith, CSUMB",Boulders,Sand- to boulder-sized debris-flow deposits were observed near basin outlets. Deposition occurred within the Carmel River below some basin outlets.,36.4406,-121.705118,,,6997,Carmel,2020,8,18,8/18/20,Ponciano,32031,36.4,-121.725,6,10021276,1/26/21 18:23,56.8,222.504,3.917323944,36.576,32.512,26.416,1/27/21 3:33,1/27/21 3:41,1/27/21 3:47,6.096,25.4,Certain,1/27/21 11:35,0.463414705,112818.4737,16.3922113,28.11444047,20,55.5,35,42.5,101.4275872,81.96517413,98.23943662,Fall/Winter,0.035900783,0.087467363,0.184943429,0.275456919,0.225195822,0.106614447,0.033072237,0.011531767,0.007615318,0,0,0,0
Thomas et al. (2023) doi:10.5066/P91O03Y7,1/27/21,West of the Carmel River,"Doug Smith, CSUMB",Boulders,Sand- to boulder-sized sediment and organic material (tree branches) were deposited in a drainage at Sleepy Hollow site 2,36.4394,-121.703352,,,6997,Carmel,2020,8,18,8/18/20,Ponciano,32031,36.4,-121.725,5.9,10021276,1/26/21 18:23,56.8,222.504,3.917323944,36.576,32.512,26.416,1/27/21 3:33,1/27/21 3:41,1/27/21 3:47,6.096,25.4,Certain,1/27/21 11:35,0.463414705,112818.4737,16.3922113,28.11444047,20,55.5,35,42.5,101.4275872,81.96517413,98.23943662,Fall/Winter,0.07208495,0.07514805,0.097406575,0.272615887,0.212374923,0.116397795,0.047375944,0.044312845,0.00673882,0,0,0,0
"Story Maps, Kostelnik et al. (2021)",1/27/21,Berry Creek,USGS,Deposits,Small debris-flow deposits at the Berry Creek and Last Chance Creek site,37.0766,-122.21736,https://storymaps.arcgis.com/stories/f29009ca6e5d405190bfdbca3145160a,,86553,CZU Lightning Complex,2020,8,16,8/16/20,BerryCreek,BCUSGS,37.07928,-122.21606,0.4,10021177,1/26/21 15:10,43.36666667,74.60004028,1.720216148,14.40000778,9.600005184,8.800004752,1/28/21 9:05,1/27/21 1:35,1/27/21 1:35,0.200000108,6.800003672,Certain,1/28/21 17:05,0.657767338,9273.676733,44.2251331,29.91781685,20,53,30,45,74.36567257,51.5015015,55.98404255,Fall/Winter,0.067929458,0.08556499,0.14369693,0.178967995,0.211626388,0.209666884,0.041149575,0.003919007,0,0,0,0,0
"Story Maps, Kostelnik et al. (2021)",1/27/21,Last Chance Creek,USGS,Deposits,Mud- to cobble-sized sediment deposited by debris flows formed levees along channel margins in the Last Chance Creek drainage.,37.1394,-122.251615,https://storymaps.arcgis.com/stories/f29009ca6e5d405190bfdbca3145160a,,86553,CZU Lightning Complex,2020,8,16,8/16/20,ScottCreek,32063,37.139,-122.203,5.2,10021177,1/26/21 15:15,24.13333333,81.28,3.367955801,44.704,30.48,22.352,1/27/21 1:34,1/27/21 1:34,1/27/21 1:36,2.032,10.16,Certain,1/27/21 9:35,0.613963881,141483.8768,80.09666137,29.04382371,20,57,40.5,55.5,92.42646256,95.88235294,96.66666667,Fall/Winter,0,0,0,0.03030303,0.303030303,0.303030303,0.363636364,0,0,0,0,0,0
Thomas et al. (2023) doi:10.5066/P91O03Y7,1/27/21,Dolan Canyon,Matthew Thomas & Jaime Kostelnik (U.S. Geological Survey),,,36.11121,-121.61109,,,124527,Dolan,2020,8,18,8/18/20,BigCreek,419,36.07083,-121.5986,4.6,10020909,1/26/21 18:30,59,238.75746,4.04673661,60.94984,38.60292,22.85746,1/27/21 20:10,1/27/21 20:20,1/27/21 20:20,0.254,6.858,Certain,1/28/21 4:10,0.403911206,97531.70556,47.15698951,28.53935853,20,54,29.5,44,58.03722412,69.58661417,95.38834951,Fall/Winter,0,0,0,0.012987013,0.668831169,0.318181818,0,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",1/27/21,"Mile Marker 30.2, Highway 1, Monterey County","Caltrans District 5, CHP Monterey, Don Lindsay",Road-paved,A large debris flow blocked drainage culverts and washed away Highway 1 resulting in a minimum 6 month road closure and repair costs of an estimated $11.5 million.,36.0923,-121.618585,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/216/attachments/377,"Don Lindsay, CGS",124527,Dolan,2020,8,18,8/18/20,Whale,WHALE,36.07222,-121.59583,3.7,10020909,1/26/21 18:30,52.5,204.47,3.894666667,41.656,24.892,16.002,1/27/21 20:10,1/27/21 20:20,1/27/21 14:10,0.254,6.096,Certain,1/28/21 4:10,0.403911206,97531.70556,47.15698951,28.53935853,20,54,29.5,44,58.03722412,82.70440252,95.32312925,Fall/Winter,0,0,0,0,0,0.653846154,0.269230769,0.076923077,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",1/27/21,"Approximately 1 mile east of postmile 29.4 Highway 1, Monterey County",California Geological Survey,Other,Large debris flow left woody debris and mud throughout drainage channel.,36.0817,-121.596279,https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/229/attachments/378,"Don Lindsay, CGS",124527,Dolan,2020,8,18,8/18/20,Whale,WHALE,36.07222,-121.59583,1.3,10020909,1/26/21 18:30,52.5,204.47,3.894666667,41.656,24.892,16.002,1/27/21 20:10,1/27/21 20:20,1/27/21 14:10,0.254,6.096,Certain,1/28/21 4:10,0.403911206,97531.70556,47.15698951,28.53935853,20,54,34.5,44,58.03722412,97.12525667,95.32312925,Fall/Winter,0,0,0,0,0.230769231,0.769230769,0,0,0,0,0,0,0
"Reported Landslides Database, California Department of Conservation",1/27/21,"Postmile 33.3 Highway 1, Monterey County",California Geological Survey,Road-paved,Mud and debris covered Highway 1. Rat Creek site in Story Maps,36.1295,-121.643408,"https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/225/attachments/371, https://storymaps.arcgis.com/stories/296878ff0ffa416d81023a8ba444eb0a","Don Lindsay, CGS",124527,Dolan,2020,8,18,8/18/20,Anderson,32013,36.18079,-121.64164,6.9,10020909,1/27/21 0:44,61.33333333,235.712,3.843130435,44.704,34.544,31.496,1/27/21 16:18,1/27/21 16:23,1/27/21 16:23,5.08,14.224,Certain,1/28/21 0:20,0.560030356,105665.4548,53.64851273,29.52378649,20,54,34,39,109.4423974,93.30357143,84.8615917,Fall/Winter,0.014869888,0.215613383,0.182156134,0.260223048,0.076208178,0.063197026,0.098513011,0.07063197,0.018587361,0,0,0,0
"Reported Landslides Database, California Department of Conservation",1/27/21,"Postmile R33.5, Monterey County",California Geological Survey,Road-paved,Mud and debris covered Highway 1. Hot Springs Canyon in Story Maps,36.1325,-121.645256,"https://services2.arcgis.com/zr3KAIbsRSUyARHG/arcgis/rest/services/Reported_Landslide_Events_Web_Service/FeatureServer/0/223/attachments/370, https://storymaps.arcgis.com/stories/296878ff0ffa416d81023a8ba444eb0a","Don Lindsay, CGS",124527,Dolan,2020,8,18,8/18/20,Anderson,32013,36.18079,-121.64164,6.5,10020909,1/27/21 0:44,61.33333333,235.712,3.843130435,44.704,34.544,31.496,1/27/21 16:18,1/27/21 16:23,1/27/21 16:23,5.08,14.224,Certain,1/28/21 0:20,0.560030356,105665.4548,53.64851273,29.52378649,20,54,34,39,109.4423974,93.06487696,84.8615917,Fall/Winter,0.014869888,0.215613383,0.182156134,0.260223048,0.076208178,0.063197026,0.098513011,0.07063197,0.018587361,0,0,0,0
Thomas et al. (2023) doi:10.5066/P91O03Y7,1/27/21,Anderson Canyon,Scott McCoy & David Cavagnaro (University of Nevada Reno),,,36.15964,-121.66887,,,124527,Dolan,2020,8,18,8/18/20,Anderson,32013,36.18079,-121.64164,6.9,10020909,1/27/21 0:44,61.33333333,235.712,3.843130435,44.704,34.544,31.496,1/27/21 16:18,1/27/21 16:23,1/27/21 16:23,5.08,14.224,Certain,1/28/21 0:20,0.560030356,105665.4548,53.64851273,29.52378649,20,54,32,39,109.4423974,83.56164384,84.8615917,Fall/Winter,0,0,0.091816367,0.317365269,0.283433134,0.127744511,0.105788423,0.069860279,0.003992016,0,0,0,0
Thomas et al. (2023) doi:10.5066/P91O03Y7,1/27/21,Near Slickrock Creek,Matthew Thomas & Jaime Kostelnik (U.S. Geological Survey),,Matthew Thomas & Jaime Kostelnik (U.S. Geological Survey),35.97756,-121.36093,,,124527,Dolan,2020,8,18,8/18/20,ChalkPeak,32028,35.94639,-121.405,6.5,10020909,1/26/21 19:04,67.76666667,410.21,6.053271028,47.752,34.036,26.162,1/27/21 21:30,1/27/21 5:07,1/27/21 5:34,1.016,5.08,Certain,1/28/21 5:30,0.429795625,106268.9812,41.10647557,28.1320161,20,54,32,35.5,251.7390509,94.71243043,66.93679092,Fall/Winter,0,0,0.107784431,0.395209581,0.48502994,0.011976048,0,0,0,0,0,0,0
